Number,Letter,x,y,label_x,label_y
1,,3395.634228253476,-3762.372572623725,3181.6350324708687,-4214.262320465384
2,,5580.057586761915,-2923.80363409461,5975.125270948527,-3230.269822949805
3,,6444.7735766158385,-1104.2031655510555,6219.095957096012,-658.0309879695029
4,,8343.514293714767,-944.1641728697094,8358.360210014143,-1443.9437230408146
5,,11912.26956333107,232.72118287197077,12410.844508973883,270.4441676063062
6,,271.98418252309574,2231.2872484567556,-56.12411127200415,2608.5735423276947
7,,303.2724882334955,1661.3951051293834,719.3508648266948,1384.1248677587494
8,,-1380.9733679878898,593.2004208737349,-1737.057281445573,944.2050455963462
9,,-3840.339441073264,-6541.046808297674,-3943.9385011228246,-7030.196309735474
10,,-3004.6307437087917,-3703.791989972634,-2505.2669928972905,-3678.576035192598
11,,-2427.199130491382,-2255.328765337832,-2074.511370432856,-2609.7456722495926
12,,-1222.6884393350986,-1875.4132423630551,-1048.771323583087,-1406.635217229089
13,,-749.2860034165076,-2792.307995845992,-1012.8472712427115,-3217.2026393775905
14,,308.37829292167794,-2508.375672833847,760.5910896173449,-2721.691369641849
15,,-217.08569613315748,42.30065201534376,-705.0780115602062,151.22034759033087
16,,1503.3200483495486,1358.239403536259,1388.359244049623,871.6348274431914
